"lat","lon","N_khy_1850","N_khy_2000","N_to_1984","N_to_2000"
48.3157894737,-122.5,0.475081,5.031451,262.3699248,340.3387608
48.3157894737,-125,0.2661341,1.918494,89.8052676,119.6133676
48.3157894737,-127.5,0.2052751,1.2432668,59.4753085,78.5252175
48.3157894737,-62.5,0.8824471,3.2519897,233.1835568,289.9385334
48.3157894737,-65,1.328082,4.091458,288.692842,355.180354
48.3157894737,-67.5,1.738876,4.921726,343.322916,421.154477
48.3157894737,-70,1.876255,5.44824,375.396847,465.05406
48.3157894737,-72.5,1.869473,6.041067,396.024364,488.842727
48.3157894737,-75,1.715316,5.836835,374.856025,465.274948
48.3157894737,-77.5,1.864846,6.093794,389.374611,482.886501
48.3157894737,-80,1.811357,6.484871,400.787842,497.838145
48.3157894737,-82.5,1.438319,6.343302,370.325295,463.781718
48.3157894737,-85,1.119762,6.277285,330.961321,420.801064
48.3157894737,-87.5,0.7365482,5.262045,266.4674517,340.8437217
48.3157894737,-90,0.899277,5.494503,279.168658,357.441746
48.3157894737,-92.5,0.985973,5.871795,301.01874,388.517261
48.3157894737,-95,1.190219,6.92911,345.859627,451.503987
48.3157894737,-97.5,0.963215,8.88364,392.149557,529.732657
50.2105263158,-100,0.689089,5.949599,236.6137569,327.2019959
50.2105263158,-102.5,0.694643,6.382735,237.7615977,334.0209637
50.2105263158,-105,0.649559,6.805047,243.6506565,343.8079325
50.2105263158,-107.5,0.5301602,6.542363,216.4705447,310.6422937
50.2105263158,-110,0.5547305,6.481986,206.5742857,295.8017217
50.2105263158,-112.5,0.595033,5.145076,172.4242626,241.7552486
50.2105263158,-115,0.636873,2.854824,125.512118,164.896689
50.2105263158,-117.5,0.728022,2.711998,126.7982649,164.2161229
50.2105263158,-120,0.627179,3.157498,136.7889277,181.9761177
50.2105263158,-122.5,0.4632028,3.021101,150.8570532,199.4848472
50.2105263158,-125,0.4076065,2.331767,113.5704336,151.5283216
50.2105263158,-127.5,0.291386,1.561245,79.7560647,104.6846858
50.2105263158,-62.5,1.3429937,3.176322,250.5534101,306.1709375
50.2105263158,-65,1.0929804,3.129848,232.3348714,285.6869742
50.2105263158,-67.5,1.515123,3.654413,284.7466693,346.7918953
50.2105263158,-70,2.27497,4.211418,343.309697,414.066811
50.2105263158,-72.5,2.702101,4.937184,378.014056,455.920776
50.2105263158,-75,1.868521,4.471805,325.723921,398.510661
50.2105263158,-77.5,2.326178,4.380508,336.076782,407.331509
50.2105263158,-80,1.549188,4.20691,283.658977,351.291689
50.2105263158,-82.5,1.065665,4.190088,254.600308,318.713641
50.2105263158,-85,0.900045,4.345076,242.392332,307.78073
50.2105263158,-87.5,0.865523,4.572453,237.440056,304.660326
50.2105263158,-90,0.843229,4.271916,224.093881,287.804008
50.2105263158,-92.5,0.778155,4.297644,218.514096,282.609804
50.2105263158,-95,0.769531,4.900862,228.264936,300.768324
50.2105263158,-97.5,0.739653,6.25851,271.832403,364.275323
52.1052631579,-100,0.684412,3.597185,162.415228,215.707713
52.1052631579,-102.5,0.922697,5.322598,221.0630027,300.0671257
52.1052631579,-105,0.643506,5.926145,214.6694069,303.6631329
52.1052631579,-107.5,0.5675201,5.742425,207.6593798,294.8018568
52.1052631579,-110,0.615842,5.178016,179.4791519,255.0841899
52.1052631579,-112.5,0.5728217,4.919723,161.1847892,228.8815082
52.1052631579,-115,0.65724,2.806509,123.7093,162.190363
52.1052631579,-117.5,0.5389493,1.954061,90.1750612,117.2534342
52.1052631579,-120,0.7632978,2.324118,100.3778804,128.897279
52.1052631579,-122.5,0.926966,1.955861,113.2794201,139.7884808
52.1052631579,-125,0.5256946,1.702523,85.6153585,110.5436515
52.1052631579,-127.5,0.3828284,1.478077,84.0442868,108.7287653
52.1052631579,-62.5,2.335751,2.724548,275.9543362,323.0563622
52.1052631579,-65,1.310612,2.793761,220.3618488,267.3669718
52.1052631579,-67.5,1.753826,2.961072,259.6658292,307.4333272
52.1052631579,-70,4.177991,3.473017,408.988464,461.195574
52.1052631579,-72.5,3.826509,4.379636,380.8210985,440.0781715
52.1052631579,-75,2.292617,3.655656,309.7201677,368.4251967
52.1052631579,-77.5,2.762457,3.46896,318.3639158,381.1447388
52.1052631579,-80,0.769616,2.375935,158.8062222,198.1700112
52.1052631579,-82.5,0.8467841,2.641731,182.6403009,228.3570399
52.1052631579,-85,0.7855344,2.621205,174.1596445,218.2227365
52.1052631579,-87.5,0.7512305,2.826159,174.8187893,222.0097683
52.1052631579,-90,0.811119,2.970723,176.410019,224.725705
52.1052631579,-92.5,0.781762,3.243349,180.387722,231.171074
52.1052631579,-95,0.762615,3.452794,181.310802,234.285016
52.1052631579,-97.5,0.620557,3.495978,164.6932907,217.1391817
54,-100,0.884462,2.494968,151.99015,190.716911
54,-102.5,1.288078,2.991707,186.183949,231.512473
54,-105,0.710877,3.299714,155.541975,207.407092
54,-107.5,0.734705,3.483277,158.712804,214.453819
54,-110,0.774952,4.104659,170.151317,235.06556
54,-112.5,0.716938,4.353576,166.585531,229.964303
54,-115,0.70159,3.249226,123.559056,166.917198
54,-117.5,0.596167,1.964566,92.0366592,119.0460862
54,-120,0.5420315,1.726844,78.4011058,100.5175855
54,-122.5,0.6747191,2.450338,85.6791936,111.3503666
54,-125,0.942674,2.187756,99.90554,124.1921247
54,-127.5,0.7320847,1.51999,94.7245158,117.232551
54,-62.5,1.7660047,1.9031164,224.2516047,256.5935891
54,-65,1.2185152,2.0202025,186.4378903,220.4616078
54,-67.5,1.897585,2.1756161,248.6746597,284.0888065
54,-70,2.383832,2.434852,267.5690528,306.1584968
54,-72.5,1.495003,2.537299,215.7542838,256.2591268
54,-75,1.106854,2.419192,195.3102367,235.9701003
54,-77.5,1.309336,2.18848,201.5323603,241.5305313
54,-80,0.5117008,1.6468693,114.3853258,143.6759023
